,Team,Opponent,Home_Indicator,Full_Home_Goals,FTHG_last2_avg,FTHG_last3_avg,FTHG_last4_avg,FTHG_last5_avg,Full_Away_Goals,FTAG_last2_avg,FTAG_last3_avg,FTAG_last4_avg,FTAG_last5_avg,Full_Results,Standing,Winning_Probability,Winning_Probability_last5,Home_Win_Prob,Away_Win_Prob,Half_Home_Goals,HTHG_last2_avg,HTHG_last3_avg,HTHG_last4_avg,HTHG_last5_avg,Half_Away_Goals,HTAG_last2_avg,HTAG_last3_avg,HTAG_last4_avg,HTAG_last5_avg,Home_Shots_on_Target,HST_last2_avg,HST_last3_avg,HST_last4_avg,HST_last5_avg,Away_Shots_on_Target,AST_last2_avg,AST_last3_avg,AST_last4_avg,AST_last5_avg,Away_Shots,Home_Shots
36,West Ham,Everton,0,0.0,1.0,1.3333333333333333,1.5,1.4,0.0,0.5,0.3333333333333333,0.75,0.8,D,43,0.3055555555555556,0.2,0.4444444444444444,0.16666666666666666,0.0,0.5,0.6666666666666666,0.75,0.6,0.0,0.0,0.0,0.25,0.2,3.0,6.5,8.0,7.0,7.8,6.0,6.0,7.333333333333333,7.75,7.0,11.0,9.0
37,West Ham,Reading,1,2.0,1.0,1.3333333333333333,1.5,1.6,0.0,0.0,0.3333333333333333,0.25,0.6,H,43,0.2972972972972973,0.2,0.4444444444444444,0.15789473684210525,1.0,0.5,0.6666666666666666,0.75,0.8,0.0,0.0,0.0,0.0,0.2,13.0,8.0,8.666666666666666,9.25,8.2,2.0,4.0,4.666666666666667,6.0,6.6,7.0,23.0
0,Liverpool,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Liverpool,Man City,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,15.0
2,Liverpool,Arsenal,1,2.0,2.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,D,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,11.0,15.0
3,Liverpool,Sunderland,0,0.0,1.0,1.6666666666666667,0.0,0.0,2.0,2.0,1.3333333333333333,0.0,0.0,A,1,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,1.0,0.5,0.3333333333333333,0.0,0.0,8.0,8.0,8.666666666666666,0.0,0.0,7.0,6.0,6.333333333333333,0.0,0.0,11.0,17.0
4,Liverpool,Man United,1,1.0,0.5,1.0,1.5,0.0,1.0,1.5,1.6666666666666667,1.25,0.0,D,2,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.75,0.0,0.0,0.5,0.3333333333333333,0.25,0.0,4.0,6.0,6.666666666666667,7.5,0.0,9.0,8.0,7.0,7.0,0.0,20.0,6.0
5,Liverpool,Norwich,0,1.0,1.0,0.6666666666666666,1.0,1.4,2.0,1.5,1.6666666666666667,1.75,1.4,A,2,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.5,0.6,0.0,0.0,0.3333333333333333,0.25,0.2,8.0,6.0,6.666666666666667,7.0,7.6,4.0,6.5,6.666666666666667,6.25,6.4,8.0,13.0
6,Liverpool,Stoke,1,2.0,1.5,1.3333333333333333,1.0,1.2,5.0,3.5,2.6666666666666665,2.5,2.4,A,5,0.16666666666666666,0.2,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,0.4,2.0,1.0,0.6666666666666666,0.75,0.6,7.0,7.5,6.333333333333333,6.75,7.0,6.0,5.0,6.333333333333333,6.5,6.2,10.0,10.0
7,Liverpool,Reading,1,0.0,1.0,1.0,1.0,0.8,0.0,2.5,2.3333333333333335,2.0,2.0,D,6,0.14285714285714285,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.2,0.0,1.0,0.6666666666666666,0.5,0.6,5.0,6.0,6.666666666666667,6.0,6.4,3.0,4.5,4.333333333333333,5.5,5.8,5.0,16.0
8,Liverpool,Everton,0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.6666666666666667,1.75,1.6,H,9,0.25,0.4,0.2,0.3333333333333333,1.0,0.5,0.3333333333333333,0.25,0.4,0.0,0.0,0.6666666666666666,0.5,0.4,13.0,9.0,8.333333333333334,8.25,7.4,5.0,4.0,4.666666666666667,4.5,5.4,8.0,23.0
9,Liverpool,Newcastle,1,2.0,1.5,1.0,1.25,1.2,2.0,1.0,0.6666666666666666,1.75,1.8,D,10,0.2222222222222222,0.4,0.2,0.25,2.0,1.5,1.0,0.75,0.6,2.0,1.0,0.6666666666666666,1.0,0.8,8.0,10.5,8.666666666666666,8.25,8.2,5.0,5.0,4.333333333333333,4.75,4.6,12.0,17.0
10,Liverpool,Chelsea,0,1.0,1.5,1.3333333333333333,1.0,1.2,1.0,1.5,1.0,0.75,1.6,D,11,0.2,0.4,0.16666666666666666,0.25,0.0,1.0,1.0,0.75,0.6,1.0,1.5,1.0,0.75,1.0,12.0,10.0,11.0,9.5,9.0,3.0,4.0,4.333333333333333,4.0,4.4,10.0,20.0
11,Liverpool,Wigan,1,1.0,1.0,1.3333333333333333,1.25,1.0,1.0,1.0,1.3333333333333333,1.0,0.8,D,12,0.18181818181818182,0.2,0.16666666666666666,0.2,1.0,0.5,1.0,1.0,0.8,0.0,0.5,1.0,0.75,0.6,3.0,7.5,7.666666666666667,9.0,8.2,5.0,4.0,4.333333333333333,4.5,4.2,9.0,12.0
12,Liverpool,Swansea,0,3.0,2.0,1.6666666666666667,1.75,1.6,0.0,0.5,0.6666666666666666,1.0,0.8,H,15,0.25,0.4,0.2857142857142857,0.2,0.0,0.5,0.3333333333333333,0.75,0.8,0.0,0.0,0.3333333333333333,0.75,0.6,11.0,7.0,8.666666666666666,8.5,9.4,3.0,4.0,3.6666666666666665,4.0,4.2,9.0,22.0
13,Liverpool,Tottenham,0,0.0,1.5,1.3333333333333333,1.25,1.4,0.0,0.0,0.3333333333333333,0.5,0.8,D,16,0.23076923076923078,0.2,0.2857142857142857,0.16666666666666666,0.0,0.0,0.3333333333333333,0.25,0.6,0.0,0.0,0.0,0.25,0.6,8.0,9.5,7.333333333333333,8.5,8.4,14.0,8.5,7.333333333333333,6.25,6.0,21.0,17.0
14,Liverpool,Southampton,1,2.0,1.0,1.6666666666666667,1.5,1.4,1.0,0.5,0.3333333333333333,0.5,0.6,H,16,0.21428571428571427,0.2,0.2857142857142857,0.14285714285714285,2.0,1.0,0.6666666666666666,0.75,0.6,0.0,0.0,0.0,0.0,0.2,7.0,7.5,8.666666666666666,7.25,8.2,9.0,11.5,8.666666666666666,7.75,6.8,14.0,14.0
15,Liverpool,West Ham,0,1.0,1.5,1.0,1.5,1.4,0.0,0.5,0.3333333333333333,0.25,0.4,H,19,0.26666666666666666,0.4,0.375,0.14285714285714285,1.0,1.5,1.0,0.75,0.8,0.0,0.0,0.0,0.0,0.0,11.0,9.0,8.666666666666666,9.25,8.0,4.0,6.5,9.0,7.5,7.0,8.0,24.0
16,Liverpool,Aston Villa,1,2.0,1.5,1.6666666666666667,1.25,1.6,3.0,1.5,1.3333333333333333,1.0,0.8,A,22,0.3125,0.6,0.375,0.25,2.0,1.5,1.6666666666666667,1.25,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,6.0,8.5,8.0,8.0,8.6,8.0,6.0,7.0,8.75,7.6,16.0,9.0
17,Liverpool,Fulham,1,1.0,1.5,1.3333333333333333,1.5,1.2,3.0,3.0,2.0,1.75,1.4,A,22,0.29411764705882354,0.4,0.3333333333333333,0.25,0.0,1.0,1.0,1.25,1.0,2.0,1.5,1.0,0.75,0.6,17.0,11.5,11.333333333333334,10.25,9.8,6.0,7.0,6.0,6.75,8.2,9.0,26.0
18,Liverpool,Stoke,0,4.0,2.5,2.3333333333333335,2.0,2.0,0.0,1.5,2.0,1.5,1.4,H,25,0.3333333333333333,0.6,0.4,0.25,2.0,1.0,1.3333333333333333,1.25,1.4,0.0,1.0,1.0,0.75,0.6,12.0,14.5,11.666666666666666,11.5,10.6,6.0,6.0,6.666666666666667,6.0,6.6,7.0,22.0
